,Time,headlines
71,"October 22nd, 2019 11:02 am",Danish church loses legendary altar candlesticks to theft 
72,"October 21st, 2019 4:29 pm",US Democrats want to add Danish extreme nationalist group to terror list 
73,"October 21st, 2019 4:03 pm",Danish News Round-Up: Merging elderly care homes with kindergartens 
74,"October 21st, 2019 3:08 pm",Culture Round-Up: Easier to score cocaine on the Moon than in Randers 
75,"October 21st, 2019 1:54 pm",Danish whisky named best in continental Europe 
76,"October 21st, 2019 11:17 am","Turks, Poles and Syrians lead Denmark’s immigration statistics "
77,"October 20th, 2019 6:00 am",Denmark to become a beacon for a greener future 
78,"October 18th, 2019 3:00 pm",Danish pension firms investing in dubious US pharma companies 
79,"October 18th, 2019 1:36 pm",Danish pig farmers rejoice as pork prices soar 
80,"October 18th, 2019 10:42 am",Danish politicians share schools photos in reaction to ‘disturbing’ trend 
81,"October 17th, 2019 5:09 pm",Tensions rising between Kurdish/Turkish communities in Denmark 
82,"October 17th, 2019 3:11 pm",Bornholm wants more refugees to help with labour demand 
83,"October 17th, 2019 1:31 pm",Danish News Round-Up: Concerns over problem gambling rising as number of adverts soars 
84,"October 17th, 2019 11:21 am",One-legged woman to walk across Zealand to protest against Danish company 
85,"October 17th, 2019 10:57 am",Praise the Lord! Man travels from Singapore to pay homage to Bendtner 
86,"October 17th, 2019 9:23 am",Billion kroner deal to see ‘Paper Island’ developed 
87,"October 16th, 2019 7:00 pm",Doomsday in Dublin … again: Danes need a draw against Ireland to reach Euro 2020 
88,"October 16th, 2019 3:01 pm",Changing media landscape: More Danes streaming and listening to podcasts 
89,"October 16th, 2019 1:52 pm",Danish pensioner looking to revolutionise European sausage production 
90,"October 16th, 2019 11:37 am",Danes the least adventurous nation when it comes to taking interesting jobs abroad 
91,"October 16th, 2019 11:04 am",Immigrants want to ban criticism of religion in Denmark 
92,"October 15th, 2019 7:00 pm",Challenging young architects to visualise Jørn Utzon’s uncompleted work 
93,"October 15th, 2019 5:24 pm",Danish technology to significantly reduce diagnosis time 
94,"October 15th, 2019 4:08 pm",Young Dane breaks Guinness World Record for largest collection of tea bags 
95,"October 15th, 2019 3:07 pm",Copenhagen bridge to reopen with city’s widest bicycle path 
96,"October 15th, 2019 2:11 pm",Government to fast-track stripping foreign fighters of citizenship 
97,"October 15th, 2019 12:36 pm",EU countries agree to restrict arms sales to Turkey 
98,"October 15th, 2019 10:11 am",Air pollution: High levels of ultrafine particles in Copenhagen 
99,"October 14th, 2019 11:11 am",Danish News Round-Up: Heavenly Isabella confirmed as leader of Kristendemokraterne 
100,"October 14th, 2019 10:36 am",Danish NGO withdraws from Syria following Turkish offensive 
101,"October 14th, 2019 9:48 am",Keys to the Kingdom: just waiting to be discovered 
102,"October 12th, 2019 5:59 am",‘Any way the wind blows’ – if only that was true in Copenhagen 
103,"October 11th, 2019 7:00 pm",Carlsberg making inroads towards world’s first ‘paper beer bottle’ 
104,"October 11th, 2019 5:03 pm",Denmark ready to make impression in Iceland summit 
105,"October 11th, 2019 2:49 pm",Dearth of Danish: Another international’s hungry mouth to feed … in the English Ghetto 
106,"October 11th, 2019 1:29 pm",Thousand medieval silver coins found in woods in southeastern Denmark 
107,"October 11th, 2019 12:23 pm",Denmark’s biggest CO2 emitters struggling to meet green EU targets 
108,"October 11th, 2019 11:26 am",Danes increasingly geared towards spending their summers at home 
109,"October 11th, 2019 9:40 am",Denmark’s gender pay gap among lowest in the world for self employed 
110,"October 10th, 2019 6:03 pm",Danish News Round-Up: Denmark remains tenth in World Economic Forum ranking 
111,"October 10th, 2019 11:15 am",Foreign minister urging restraint from Turkey following its invasion of northeastern Syria 
112,"October 10th, 2019 10:41 am",Denmark to introduce temporary border controls on Swedish border 
113,"October 9th, 2019 10:33 am","Oi, Oi, Oi! Australian TV lambasts Denmark for anti-immigration sentiment "
114,"October 9th, 2019 9:15 am",Government turns to more surveillance in new security proposal 
115,"October 8th, 2019 5:11 pm",Denmark wary of Trump’s withdrawal from Syria 
116,"October 8th, 2019 1:49 pm",Novo Nordisk part of world’s first drone delivery of insulin 
117,"October 8th, 2019 11:32 am",Novo Nordisk up to second on Denmark’s biggest company list 
118,"October 8th, 2019 10:15 am",Lego owners still Denmark’s wealthiest family 
119,"October 7th, 2019 4:50 pm",Sports Round-Up: Denmark face stern Swiss challenge in Euro qualification 
120,"October 7th, 2019 2:48 pm",Danish News Round-Up: Danish millions going to Syria’s mine-clearing and restoration efforts 
121,"October 7th, 2019 12:33 pm",Denmark promoting sustainable exports in France 
122,"October 7th, 2019 11:44 am",Danish aviation sets plan for a greener future in the skies 
123,"October 6th, 2019 12:30 pm",Business Round-Up: Big boost for Copenhagen-Canada travellers 
124,"October 5th, 2019 4:55 pm",Conceding time at the Zoo: comedy club organising its first ever English-only open mic 
125,"October 4th, 2019 12:46 pm",Local Round-Up: CopenHill opening with festivities this weekend 
126,"October 4th, 2019 12:42 pm",Oh S**t: New Metro toilets delayed due to bankruptcy 
127,"October 4th, 2019 10:05 am",Copenhagen inks new budget agreement 
128,"October 3rd, 2019 12:00 pm",International Round-Up: Danish ’Dannebrog’ F-16 rebuffs Russian spy plane 
129,"October 3rd, 2019 10:59 am","Science Round-Up: Long in the tooth, but still cutting it "
130,"October 3rd, 2019 10:04 am",Trump tariffs a major threat to Danish exports 
131,"October 2nd, 2019 8:13 pm",Putin: Denmark under pressure on Nord Stream 2 pipeline 
132,"October 2nd, 2019 2:01 pm",Good times over? Experts predict economic stagnation for Denmark 
133,"October 2nd, 2019 12:41 pm",Government presents new 2020 budget proposal 
134,"October 2nd, 2019 10:01 am",Denmark improves as one of world’s most powerful passport countries 
