,Time,headlines
3551,"June 20th, 2017 3:33 pm","Denmark’s trains should be privatised, minister suggests "
3552,"June 20th, 2017 3:06 pm",Denmark and Germany to increase amount of tradeable electricity 
3553,"June 20th, 2017 1:47 pm",Coastal train line closed for summer repairs 
3554,"June 20th, 2017 12:05 pm",Danish brewery Mikkeller raises eyebrows with new LGBT beer 
3555,"June 20th, 2017 10:20 am",Maersk’s new container route to diplomatically-isolated Qatar delayed 
3556,"June 20th, 2017 9:05 am",Danish democracy has weakened – survey 
3557,"June 19th, 2017 7:35 pm",In touch with the treetops: the canopy walkway down the road from Copenhagen 
3558,"June 19th, 2017 4:52 pm",Denmark’s flying doctors increasingly on the wing 
3559,"June 19th, 2017 3:04 pm",Denmark warned of the perils of ‘ghost nets’ in the sea 
3560,"June 19th, 2017 1:24 pm",FC Copenhagen to face Slovakian side in Champions League qualifiers 
3561,"June 19th, 2017 11:46 am",EU report: Denmark has too many barriers for family reunification 
3562,"June 19th, 2017 11:04 am",Two controversial skyscraper projects competing for prime Nordhavn site 
3563,"June 19th, 2017 10:01 am",Earthquake in Greenland – 39 people evacuated 
3564,"June 19th, 2017 8:36 am",Italy too strong for under-21 Danes 
3565,"June 18th, 2017 7:00 am","Still prohibited, is the tide slowly turning for commercial surrogacy? "
3566,"June 16th, 2017 5:34 pm",Euro 92 heroes to re-enact magical moment of triumph 
3567,"June 16th, 2017 5:14 pm",DSB recommends ruling out the purchase of high-speed trains 
3568,"June 16th, 2017 1:47 pm",Japanese Crown Prince on official visit to Denmark 
3569,"June 16th, 2017 12:56 pm",Danish government refuses to ban prayer rooms 
3570,"June 16th, 2017 11:10 am",Minister increases funding to fight food waste 
3571,"June 16th, 2017 8:45 am",Copenhagen still the best bicycle city in the world 
3572,"June 15th, 2017 5:55 pm","Bringing ministers, musicians and mayors together at Folkemødet, the Roskilde of politics "
3573,"June 15th, 2017 1:56 pm",Two new extremist preachers banned from entering Denmark 
3574,"June 15th, 2017 12:46 pm",UNESCO designates Møn as Denmark first biosphere reserve 
3575,"June 15th, 2017 10:43 am",Denmark gets tough on beggars 
3576,"June 15th, 2017 10:08 am",More gay Danes getting married in churches 
3577,"June 15th, 2017 8:52 am",Danish surveillance equipment being imported to Middle Eastern regimes 
3578,"June 14th, 2017 6:00 pm",Shortage of qualified labour in Scania could provide jobs for unemployed Danes 
3579,"June 14th, 2017 3:50 pm",New information centre for cruise passengers in Copenhagen 
3580,"June 14th, 2017 3:12 pm",Denmark looking to spring surprise in Euro 2017 
3581,"June 14th, 2017 1:09 pm",Copenhagen theatre to be modernised for 38 million kroner 
3582,"June 14th, 2017 11:43 am",University of Copenhagen falls in world university rankings 
3583,"June 14th, 2017 11:08 am",Government presents new foreign policy strategy 
3584,"June 14th, 2017 10:58 am",Royal rumble for Metallica: Lars Ulrich given Danish knighthood 
3585,"June 14th, 2017 9:51 am",Little Mermaid again doused with paint 
3586,"June 14th, 2017 8:29 am",Denmark best in the world at developing green energy tech 
3587,"June 13th, 2017 7:00 pm","Proud century for Lise Nørgaard, the creator of ‘Matador’ "
3588,"June 13th, 2017 6:00 pm",Denmark to be global trial nation for ‘car of the future’ 
3589,"June 13th, 2017 3:31 pm","Copenhagen’s drug injection rooms a success story, mayor says "
3590,"June 13th, 2017 2:20 pm","Danes getting better at recycling, but there’s a long way to go "
3591,"June 13th, 2017 1:14 pm",Danish boy undergoes experimental transplant surgery in groundbreaking operation 
3592,"June 13th, 2017 12:40 pm",Statue of beloved Danish author vandalised 
3593,"June 13th, 2017 11:24 am","Check your lug nuts before driving off, police warn drivers "
3594,"June 13th, 2017 11:06 am",Denmark best place in Europe to do business 
3595,"June 13th, 2017 10:21 am",Postal services to troubled neighbourhood halted in wake of threats 
3596,"June 13th, 2017 10:17 am",Legoland under fire: Rich kids can skip the queue 
3597,"June 13th, 2017 8:37 am",So long ‘min SKAT’: Denmark restructuring its tax authority 
3598,"June 13th, 2017 7:00 am",New Danish study finds link between vitamin D and combating tuberculosis 
3599,"June 12th, 2017 7:33 pm",Sri Lanka seeks waste management advice from Danish company 
3600,"June 12th, 2017 3:33 pm",Mentor program proving useful in finding jobs for spouses of international workers 
3601,"June 12th, 2017 1:56 pm",Apps bringing thousands of jobs to Denmark 
3602,"June 12th, 2017 11:35 am",City trains to be driver-less by 2030 
3603,"June 12th, 2017 10:16 am",Denmark among most expensive EU nations for permanent residency 
3604,"June 12th, 2017 8:30 am",Regional authority to ban smoking breaks 
3605,"June 11th, 2017 7:00 pm","News in Digest: Well off, but not too wealthy "
3606,"June 10th, 2017 10:21 pm",Very nice! Danes get past Kazakhstan in World Cup qualifier 
3607,"June 10th, 2017 7:00 pm","News in Digest: Hands out, but don’t beg "
3608,"June 10th, 2017 12:00 pm","NorthSide Day 1: Torrential rain, Swedish beachware and a pig’s mask "
3609,"June 9th, 2017 4:25 pm",Copenhagen tourist takes wrong turn and ends up in Sweden 
3610,"June 9th, 2017 3:09 pm",Ten million kroner pledged to assist new fathers in Denmark 
3611,"June 9th, 2017 2:42 pm",Even bigger row as Louis Vuitton axes Danish model for being too big 
3612,"June 9th, 2017 12:17 pm",Copenhagen gets first English language daycare option 
3613,"June 9th, 2017 9:36 am",Danish music festival to drown in an ocean of water today 
3614,"June 9th, 2017 8:47 am",Record number of MRSA cases in Denmark 
3615,"June 8th, 2017 11:50 pm","No, not David Brent … this Danish company is Europe’s most fun workplace "
3616,"June 8th, 2017 5:30 pm","One in five Danes feel left out or lonely, new study shows "
3617,"June 8th, 2017 3:51 pm",Danish PM to meet Polish counterpart 
3618,"June 8th, 2017 12:31 pm",Insects on the breakfast menu at Danish hostels 
3619,"June 8th, 2017 10:44 am",Beer the lynchpin of new Noma restaurant project 
3620,"June 8th, 2017 9:29 am",French president lauds Danish job market system 
3621,"June 7th, 2017 8:05 pm",2017 Pingprisen Awards celebrate graphic novels from Denmark and abroad 
3622,"June 7th, 2017 7:51 pm",WarPigs taps American markets in Chicago expansion 
3623,"June 7th, 2017 5:55 pm",Danish research part of major nature conservation study 
3624,"June 7th, 2017 1:54 pm",Lidl’s got a brand new bag – and it’s not plastic 
3625,"June 7th, 2017 8:32 am",Danish families have more disposable income than ever before 
3626,"June 6th, 2017 6:30 pm",Finding his place in a city whose heart he fills with music 
3627,"June 6th, 2017 4:10 pm",Denmark to break off co-operation with Palestinian NGO 
3628,"June 6th, 2017 3:55 pm",Danish organisations to co-operate on green city platform 
3629,"June 6th, 2017 2:27 pm",Denmark’s culture minister to visit Germany 
3630,"June 6th, 2017 12:11 pm",Frequently checking your phone can cause stress – Danish study 
3631,"June 6th, 2017 10:55 am",Massive investment in CO2 reduction partnership projects 
3632,"June 6th, 2017 8:38 am",Huge hike in numbers charged with street begging on Danish streets 
3633,"June 3rd, 2017 7:00 pm",Workplace: The hypnotic allure of working for yourself in Denmark 
3634,"June 2nd, 2017 4:33 pm",Science News in Brief: Google eyeing data centre in Denmark? 
3635,"June 2nd, 2017 2:59 pm",Vesterbro edges out Nørrebro 24-20 in Distortion arrest tally 
3636,"June 2nd, 2017 2:11 pm",Denmark throws hat in ring for seat on UN women’s rights commission 
3637,"June 2nd, 2017 12:04 pm",Denmark’s new district heating initiative to close legal loophole 
3638,"June 2nd, 2017 10:13 am","Repeal of Danish blasphemy law may have security consequences, expert says "
3639,"June 2nd, 2017 9:31 am",Denmark signs EU free trade deal with Canada 
3640,"June 2nd, 2017 8:38 am",Danish PM laments US climate deal exodus 
3641,"June 1st, 2017 4:38 pm",Lower municipal taxes in sight 
3642,"June 1st, 2017 3:58 pm",European economic recovery good news for Denmark 
3643,"June 1st, 2017 2:38 pm","Scandinavian Star fire not sabotage, commission rules "
3644,"June 1st, 2017 1:56 pm",Denmark’s IT industry yearning for a woman’s touch 
3645,"June 1st, 2017 1:14 pm","Behind the smile of Denmark’s undisputed world star, a ruthless streak is emerging "
3646,"June 1st, 2017 12:23 pm",Clubs escape punishment for Danish Cup Final trouble 
3647,"June 1st, 2017 11:50 am",Danish-Arabic partnership program enters new phase 
3648,"June 1st, 2017 10:36 am",Asylum-seeker numbers in Denmark plummeting 
3649,"June 1st, 2017 9:22 am",Tough talk from Danish government on illegal Roma camps 
3650,"June 1st, 2017 8:55 am",Denmark remains among world’s most competitive nations 
3651,"May 31st, 2017 6:00 pm",Who is … Distortion founder Thomas Dalvang Fleurquin? 
3652,"May 31st, 2017 4:31 pm",Prestigious Norwegian architecture firm to build Ordrupgaard extension 
3653,"May 31st, 2017 2:32 pm",New passage to India from Denmark soon to lift off 
3654,"May 31st, 2017 1:29 pm",Supermarket chain Aldi closes 32 shops in Denmark 
3655,"May 31st, 2017 11:42 am",Government to evaluate claims of ‘inflation’ in school exam marks 
3656,"May 31st, 2017 10:19 am",Mayor pleads for government assistance with Roma problem in Copenhagen 
3657,"May 31st, 2017 10:16 am",Copenhagen to host big energy conference 
3658,"May 31st, 2017 8:51 am",Denmark scrapping blasphemy law this week 
3659,"May 30th, 2017 5:30 pm",19th century bottled excrement could provide valuable cholera insights 
3660,"May 30th, 2017 3:53 pm",Science News in Brief: Not quite as seamless as Spectre 
3661,"May 30th, 2017 2:58 pm",Royals teaming up with government for Sweden push 
3662,"May 30th, 2017 1:40 pm",Copenhagen takes CPR number registration process online 
3663,"May 30th, 2017 10:39 am",Copenhagen getting world’s first traffic info-boards for cyclists 
3664,"May 30th, 2017 9:50 am",Bike ferry from Denmark to Sweden now a reality 
3665,"May 30th, 2017 9:12 am",Little Mermaid doused with red paint 
3666,"May 29th, 2017 5:56 pm",Denmark’s finest bringing music to the beers 
3667,"May 29th, 2017 4:02 pm",Danes sick of golden pay packets for CEOs 
3668,"May 29th, 2017 3:44 pm",Scientology moves into new location in the centre of Copenhagen 
3669,"May 29th, 2017 3:43 pm",Elderly Danish couple hit with huge fine for illegal summerhouse rental 
3670,"May 29th, 2017 2:51 pm",Danish supermarket chain dropping barn eggs from its shelves 
3671,"May 29th, 2017 2:46 pm",Danes say healthy diet isn’t critical to leading a good life 
3672,"May 29th, 2017 1:57 pm",Spin the throttle! New toy craze sweeping across Denmark 
3673,"May 29th, 2017 12:20 pm",Regional News in Brief: Island passports a great success 
3674,"May 29th, 2017 11:42 am",Danish Jehovah’s Witness arrested in Russia 
3675,"May 29th, 2017 10:50 am",Denmark blazes digital ambassador trail 
3676,"May 29th, 2017 10:33 am",Price confusion slows electric car sales in Denmark 
3677,"May 29th, 2017 9:46 am",Rich Danes stashing fortunes in tax havens 
3678,"May 29th, 2017 9:35 am",Painting the town red: Nature lovers up in arms about city park’s new coat 
3679,"May 28th, 2017 7:00 am",Go west young man! Capital can’t compete with this citadel of culture 
3680,"May 27th, 2017 7:00 pm",News in Digest: The poison on the pages 
3681,"May 24th, 2017 6:00 pm","In Danish skies this May: Bright nights, burning like fire "
3682,"May 24th, 2017 4:15 pm",Religion good for the body as well as the soul – report 
3683,"May 24th, 2017 2:55 pm",Danske Bank to drop PostNord after 21 years 
3684,"May 24th, 2017 1:39 pm",Danish ferry saves Dutch tourists on the high seas 
3685,"May 24th, 2017 12:55 pm",Media: Denmark could be forced into the euro 
3686,"May 24th, 2017 12:43 pm",Pia Kjærsgaard to remarry … although the groom’s got a familiar face 
3687,"May 24th, 2017 11:08 am",Construction plans in Greenland with growth potential in Denmark 
3688,"May 24th, 2017 11:03 am",Denmark welcomes new WHO boss 
3689,"May 24th, 2017 10:23 am",Denmark in crying need of an extensive cybercrime plan 
3690,"May 24th, 2017 10:11 am",DONG Energy sells off oil and gas assets 
3691,"May 24th, 2017 10:01 am",Minister eyes licence plate system in wake of jetski tragedy 
3692,"May 24th, 2017 8:20 am",Danish beaches and lakes again given top marks 
3693,"May 23rd, 2017 4:28 pm",Danish politicians survive 22-day vegan diet challenge 
3694,"May 23rd, 2017 4:17 pm",More than half of Copenhageners want to see more trees in the city 
3695,"May 23rd, 2017 4:14 pm",Appeal to ministers to stop mineral extraction in the Sound 
3696,"May 23rd, 2017 3:13 pm",Norway’s green party wants hyperloop between Oslo and Copenhagen 
3697,"May 23rd, 2017 2:22 pm",Investment bank considering selling CPH Airport 
3698,"May 23rd, 2017 2:04 pm",Danish pensioner sentenced to 12 years in historic child abuse case 
3699,"May 23rd, 2017 1:41 pm",Island pulling out all the stops to prevent rat plague 
3700,"May 23rd, 2017 1:17 pm",Danish festivals on their toes following Manchester attack 
3701,"May 23rd, 2017 1:03 pm",Aid organisations under pressure as Mosul end-game nears 
3702,"May 23rd, 2017 12:13 pm",Nordics the most trusting in media in Europe 
3703,"May 23rd, 2017 11:10 am",Danish Parliament expected to approve project to help socially-vulnerable 
3704,"May 23rd, 2017 10:47 am",Storm halts Dane’s bid to scale Everest 
3705,"May 23rd, 2017 8:47 am",Spanish police: Denmark key in al-Qaeda network 
3706,"May 22nd, 2017 3:03 pm",Danish shopping centre rated among the best in the world 
3707,"May 22nd, 2017 1:40 pm",More refugees finding jobs in Denmark 
3708,"May 22nd, 2017 1:32 pm",Solo Danish climber halted in bid to scale Everest without oxygen 
3709,"May 22nd, 2017 12:21 pm",Falling oil prices have hit Maersk Drilling hard 
3710,"May 22nd, 2017 10:26 am",Sunshine set to continue this week in Denmark 
3711,"May 22nd, 2017 8:43 am",Danish government gives up on raising retirement age 
3712,"May 20th, 2017 7:00 pm",News in Digest: Plugged into the system 
3713,"May 19th, 2017 4:38 pm",Denmark ranks worst in Nordics on global healthcare index 
3714,"May 19th, 2017 3:51 pm",Danish project really may give eyesight to the blind 
3715,"May 19th, 2017 3:06 pm",Roskilde Festival delivers Ice Cube on Denmark’s hottest day of the year 
3716,"May 19th, 2017 2:31 pm",Get in the swim of things in Copenhagen Harbour this summer 
3717,"May 19th, 2017 2:00 pm",New British film laughs at the soft nature of Danish prisons 
3718,"May 19th, 2017 1:00 pm",Increase in reported cases of parrot fever in Denmark 
3719,"May 19th, 2017 12:30 pm",Groundbreaking Danish HIV vaccine showing promise 
3720,"May 19th, 2017 12:05 pm",Immigrant pupils lag behind ethnic Danes at school 
3721,"May 19th, 2017 10:23 am",Sign the petition to free Denmark’s real-life Dumbo! 
3722,"May 19th, 2017 10:00 am",Uber in Denmark is dead – long live Ubr City? 
3723,"May 19th, 2017 8:48 am",Kundby ‘jihad girl’ gets six years in prison 
3724,"May 18th, 2017 5:40 pm",Chinese consumers can’t get enough Danish food 
3725,"May 18th, 2017 4:29 pm",Chimpanzee drowns at Odense Zoo 
3726,"May 18th, 2017 3:49 pm",Danish supermarket chain eyeing new app payment method 
3727,"May 18th, 2017 2:15 pm",Lego brand value continues to skyrocket in 2017 
3728,"May 18th, 2017 2:09 pm",Agreement reached on Denmark’s new billion kroner fisheries package 
3729,"May 18th, 2017 1:04 pm",FLSmidth inks big cement deal in north Africa 
3730,"May 18th, 2017 1:00 pm",Danish high court overturns nurse’s life sentence 
3731,"May 18th, 2017 11:40 am",Unskilled worker numbers in Denmark set to outstrip available jobs 
3732,"May 18th, 2017 10:48 am",Government sets tough course on international tax evasion 
3733,"May 18th, 2017 9:21 am",Denmark fails in WHO report regarding underage drinking 
3734,"May 17th, 2017 3:40 pm",Missing police and home guard weapons a potential threat 
3735,"May 17th, 2017 3:25 pm",Danish merchant fleet growing despite rough financial seas 
3736,"May 17th, 2017 2:36 pm",CPH Airport off to flying start in 2017 
3737,"May 17th, 2017 2:34 pm",Baby elephant born in CPH Zoo 
3738,"May 17th, 2017 1:02 pm",Denmark in the middle of the EU pack in suicides 
3739,"May 17th, 2017 12:08 pm",Greenland complains to UN over clean-up after US military bases 
3740,"May 17th, 2017 11:19 am",Dozens arrested in aftermath of Ungdomshuset demo 
3741,"May 17th, 2017 10:36 am",Government slammed over broken climate agreement promises 
3742,"May 17th, 2017 8:57 am",Danish man arrested for genocide in Rwanda 
3743,"May 16th, 2017 3:10 pm",World class migratory bird centre opens in Skagen 
3744,"May 16th, 2017 2:35 pm",Syrian refugee charged with planning Copenhagen bombing 
3745,"May 16th, 2017 2:14 pm",What’s up doc: Copenhagen ‘ghetto’ to finally get GPs again 
3746,"May 16th, 2017 1:12 pm",Parties agree on need for enquiry into scandal-plagued tax authorities 
3747,"May 16th, 2017 1:04 pm",Danish research: Rye bread and oat meal give healthier kids 
3748,"May 16th, 2017 12:18 pm",No reprieve for zoo’s venerable elephant house 
3749,"May 16th, 2017 10:48 am",EU wants to Denmark to axe contentious ‘Jewellery Law’ 
3750,"May 16th, 2017 10:21 am",Danish companies top in EU within digital tech 
3751,"May 16th, 2017 8:54 am",Move over Tivoli: New massive amusement park coming to Copenhagen 
3752,"May 15th, 2017 4:11 pm",Mobile crash barriers to smooth out motorway traffic 
3753,"May 15th, 2017 2:16 pm",US could expand laptop ban for flights from Denmark 
3754,"May 15th, 2017 12:14 pm",New study rubbishes Denmark’s large animal conservation efforts 
3755,"May 15th, 2017 10:45 am",Summer weather finally kicking in this week 
3756,"May 15th, 2017 10:26 am",Over a million Danes battling hay fever 
3757,"May 15th, 2017 8:16 am",We want 1984: Danes yearn for more surveillance 
3758,"May 13th, 2017 11:50 am",News in Brief: Bank holiday-celebrating Denmark among those targeted by ransomware attack 
3759,"May 11th, 2017 4:46 pm",AP Møller-Maersk on the way out of the doldrums 
3760,"May 11th, 2017 3:58 pm",Law paves way for Danish ratification of ‘green’ ship scrapping convention 
3761,"May 11th, 2017 12:34 pm",Denmark among world’s elite inventive nations 
3762,"May 11th, 2017 11:57 am",Getting inked can seriously damage your health claims expert 
3763,"May 11th, 2017 8:53 am",Copenhagen expected to see significant growth over next decade 
3764,"May 10th, 2017 9:25 pm",Danes increasingly acquiring a taste for organic food 
3765,"May 10th, 2017 3:00 pm",Beach weather finally on the way later next week 
3766,"May 10th, 2017 2:30 pm",Well-known Danish theatre director stepping down 
3767,"May 10th, 2017 1:49 pm",One in ten female municipal council members sexually harassed 
3768,"May 10th, 2017 11:52 am",Netto set to open megastore on Amager 
3769,"May 10th, 2017 11:18 am",Spouses of highly-educated foreigners to dodge Danish language tests 
3770,"May 10th, 2017 11:07 am",Side-effects stories affecting HPV vaccination numbers 
3771,"May 10th, 2017 10:45 am",Denmark to have independent claims tribunal for parking fines 
3772,"May 10th, 2017 9:43 am",Danish company helping students cheat in exams 
3773,"May 9th, 2017 3:40 pm",Copenhagen sets new cycling record 
3774,"May 9th, 2017 12:16 pm",Danish IT firm battling fake news and lies using data 
3775,"May 9th, 2017 11:45 am",Student deaths spark renewed call for jetski ban in Denmark 
3776,"May 9th, 2017 11:05 am",Two found guilty in Frederiksberg triple murder case 
3777,"May 9th, 2017 10:02 am",Total satisfaction: Rolling Stones coming to Denmark 
3778,"May 9th, 2017 8:48 am",More youth in Denmark diagnosed with depression 
3779,"May 8th, 2017 6:00 pm",Lady in red tipped to advance to Eurovision final where destiny beckons 
3780,"May 8th, 2017 4:30 pm",Denmark hits up Canada ahead of Arctic conference 
3781,"May 8th, 2017 3:07 pm",Sports News in Brief: Denmark off to rough start at IIHF Worlds 
3782,"May 8th, 2017 2:49 pm",Danish environmental and water technology in China’s spotlight 
3783,"May 8th, 2017 2:09 pm",Danish government to ease rules on volunteer work 
3784,"May 8th, 2017 12:24 pm",Helping grassroots organisations to aid the world’s humanitarian crises 
3785,"May 8th, 2017 12:02 pm",Denmark’s offers fighter jets to the Baltics 
3786,"May 8th, 2017 11:39 am",Pesticide residues found in commonly-eaten foodstuffs 
3787,"May 8th, 2017 10:55 am",Mayor wants crackdown on hazardous jetskiing following tragedy 
3788,"May 8th, 2017 8:43 am",US warns Denmark over Russian gas pipeline 
3789,"May 7th, 2017 11:10 am",Jetski accident kills two American students in Copenhagen – UPDATED with news of vigil tonight 
3790,"May 6th, 2017 1:18 pm",FC Copenhagen retain Superliga title 
3791,"May 5th, 2017 6:00 pm",Young people feel increasingly under pressure 
3792,"May 5th, 2017 5:15 pm",Sports News in Brief: New Firm teams to meet in Danish Cup final 
3793,"May 5th, 2017 4:00 pm",Crime figures down for young offenders in Denmark 
3794,"May 5th, 2017 3:00 pm",Tech News in Brief: Second Dane in space as well? 
3795,"May 5th, 2017 2:15 pm",Business News in Brief: Danish economy finally on the upswing 
3796,"May 5th, 2017 1:10 pm",Denmark keen to strengthen international doping co-op 
3797,"May 5th, 2017 11:31 am",Public thinks non-Western immigrants can become Danish 
3798,"May 5th, 2017 11:18 am",Social media prediction: Denmark won’t win Eurovision 
3799,"May 5th, 2017 10:07 am",Sleeping giants lurking in the undergrowth of Copenhagen’s suburbs 
3800,"May 5th, 2017 8:59 am",Denmark’s poor burglary record attributed to nation’s high number of detached houses 
3801,"May 4th, 2017 3:27 pm",Eastern Europe boosts first quarter for Carlsberg 
3802,"May 4th, 2017 2:44 pm",Far more young people on benefits in Denmark 
3803,"May 4th, 2017 1:20 pm",China to grill up on Danish sausages and watch more of its films 
3804,"May 4th, 2017 11:02 am",New Danish political party wants to return to the roots of democracy via mobile app 
3805,"May 4th, 2017 8:55 am",Denmark to command NATO’s northern fleet in 2018 
3806,"May 3rd, 2017 2:48 pm",Danish juice chain taking the world by storm 
3807,"May 3rd, 2017 2:47 pm",Come to an international celebration of Constitution Day 
3808,"May 3rd, 2017 1:55 pm",Denmark has its first wolf pack 
3809,"May 3rd, 2017 12:47 pm",Government secures new property tax deal 
3810,"May 3rd, 2017 12:13 pm",Denmark signs on to Safe Schools Declaration 
3811,"May 3rd, 2017 11:10 am",Wail Ho! Emergency sirens being tested today 
3812,"May 3rd, 2017 9:10 am",Finally! Sweden ends Øresund ID controls 
3813,"May 2nd, 2017 5:00 pm",Wilson Kipketer could lose world records due to contentious EAA proposal 
3814,"May 2nd, 2017 3:59 pm",Health News in Brief: Penkowa in trouble again 
3815,"May 2nd, 2017 1:58 pm",Emergency roadside phones decommissioned as popularity dwindles 
3816,"May 2nd, 2017 1:12 pm",Danish luggage storage success makes the leap to London 
3817,"May 2nd, 2017 11:07 am",Analysis: Copenhagen and Paris in lead for EMA relocation 
3818,"May 2nd, 2017 8:43 am",Denmark reveals first blacklist for hate preachers 
3819,"May 1st, 2017 5:00 pm",The worst toilet in Scotland? Try digging your hands into the oldest toilet in Denmark! 
3820,"May 1st, 2017 4:45 pm",Danish PM launches ‘disruption committee’ initiative 
3821,"May 1st, 2017 4:11 pm",Socialdemokratiet advocates for Australian or Canadian model for asylum-seekers 
3822,"May 1st, 2017 3:02 pm",Danish ministerial visits to Indonesia and Vietnam 
3823,"May 1st, 2017 2:30 pm",Establishing Denmark as a major player in the sports equipment market 
3824,"May 1st, 2017 1:23 pm",Historic moment for Danish US football as Thor signs for Falcons 
3825,"May 1st, 2017 12:10 pm",Generous grant putting Thy national park on the map 
3826,"May 1st, 2017 11:09 am",New mobile app to combat underage smoking and drinking in Denmark 
3827,"May 1st, 2017 10:40 am",Improved testing methods help in fight against novovirus stomach bug 
3828,"May 1st, 2017 9:05 am",Unlocked rubbish trucks left running in Copenhagen 
3829,"May 1st, 2017 7:00 am",New voyage of the friendship between China and Denmark 
3830,"April 30th, 2017 7:00 pm",News in Digest: All hail the pizza resistance! 
3831,"April 28th, 2017 5:00 pm","New arrivals are assets not liabilities, argue proponents of integration "
3832,"April 28th, 2017 4:32 pm","Tori Amos, Queen and Scorpions all to rock Denmark "
3833,"April 28th, 2017 3:39 pm",Government to set up freedom of speech commission 
3834,"April 28th, 2017 3:04 pm",Mega battery factory in Malmö could provide jobs for Denmark 
3835,"April 28th, 2017 3:01 pm",155 tonnes of rubbish collected from Danish nature 
3836,"April 28th, 2017 2:07 pm",Danish dads still don’t take recommended amount of paternity leave 
3837,"April 28th, 2017 2:00 pm",Environmental regulations on pesticides relaxed in the face of resistant pests 
3838,"April 28th, 2017 11:00 am",Erdogan opponents being monitored in Denmark 
3839,"April 28th, 2017 9:56 am","New foreign spouse law proposal may be discriminatory, Danish Parliament’s lawyers warn "
3840,"April 28th, 2017 9:25 am",Denmark – truly a land of entrepreneurs 
3841,"April 28th, 2017 8:35 am",What a pisser! Get your raincoat out this weekend 
3842,"April 28th, 2017 8:12 am",Denmark and OECD cosy up on globalisation 
3843,"April 27th, 2017 5:00 pm",The solution to housing problems sitting under students’ noses 
3844,"April 27th, 2017 2:10 pm",Danish energy tech exports highest in Europe 
3845,"April 27th, 2017 2:05 pm",Denmark’s biggest food waste initiative grows to 800 strong 
3846,"April 27th, 2017 1:45 pm",Nordea threatens to leave Sweden for Denmark 
3847,"April 27th, 2017 1:00 pm",Government carrot for schools who up the ante in raising grades of weak students 
3848,"April 27th, 2017 12:02 pm",Epic sports draw: Penis versus Rectum 
3849,"April 27th, 2017 11:41 am",Danish and Swedish politicians engage in ‘blame game’ on Malmö crime 
3850,"April 27th, 2017 11:04 am",PM in first official visit to China in years 
3851,"April 27th, 2017 10:43 am",Not much sign of the Danish summer as yet 
3852,"April 27th, 2017 9:09 am","Danes living longer, but not as long as the Swedes "
3853,"April 26th, 2017 5:30 pm",Copenhagen has a new canal-side promenade 
3854,"April 26th, 2017 3:45 pm",Little owls in Denmark are having a hard time of it 
3855,"April 26th, 2017 3:16 pm",Danish startup finding the key to success 
3856,"April 26th, 2017 2:54 pm",Danish technology aims to make garment industry more green 
3857,"April 26th, 2017 1:44 pm",DI: More investment needed in Danish firms 
3858,"April 26th, 2017 12:24 pm",Sports News in Brief: Danish swimming queen calls it a day 
3859,"April 26th, 2017 11:39 am",Mapping Denmark’s irreplaceable cultural environments 
3860,"April 26th, 2017 11:12 am",Thousands to march in Copenhagen against climate injustice 
3861,"April 26th, 2017 9:02 am",Maersk cuts over 100 jobs from its oil production 
3862,"April 25th, 2017 5:45 pm",Mads Mikkelsen stars in hit Carlsberg ad 
3863,"April 25th, 2017 2:50 pm",A new kid on the biker club block 
3864,"April 25th, 2017 2:30 pm",FC Copenhagen to sign Cypriot star forward 
3865,"April 25th, 2017 2:19 pm",Aarhus sees significant spike in homeless 
3866,"April 25th, 2017 12:56 pm",Millions in discarded electrical goods – Danes throw out the baby with the bathwater 
3867,"April 25th, 2017 11:58 am",University of Copenhagen blazes the Nordic path in Nature and Science 
3868,"April 25th, 2017 11:40 am",Russia denies hacking Danish Defence computers 
3869,"April 25th, 2017 10:51 am",Danish researchers help reveal heightened Arctic melting 
3870,"April 25th, 2017 10:17 am",Supermarket chain ups its efforts to reduce food waste 
3871,"April 25th, 2017 8:56 am",Tax authority can forget about outstanding billions 
3872,"April 24th, 2017 4:16 pm",Denmark and Japan hoist anchor on maritime and Olympic issues 
3873,"April 24th, 2017 3:03 pm",More electric cars wanted on Danish roads 
3874,"April 24th, 2017 2:56 pm",Roskilde Festival gives 17.4 million kroner to charity 
3875,"April 24th, 2017 2:11 pm",Margrethe Vestager named among world’s most influential 
3876,"April 24th, 2017 1:25 pm","Now, cycling in Copenhagen can be an even greener experience "
3877,"April 24th, 2017 1:16 pm",Denmark calls for global boot camps for women’s rights 
3878,"April 24th, 2017 12:32 pm",New regulations hit expat Danes returning with non-EU spouses 
3879,"April 24th, 2017 12:17 pm",It’s a really dangerous place down on the farm 
3880,"April 24th, 2017 11:28 am",New Danes celebrated on Citizenship Day 
3881,"April 24th, 2017 9:03 am",Denmark: Russia has been hacking us for two years 
3882,"April 22nd, 2017 12:19 pm",Parliament gathers for the unveiling of the picture of Thorning grey (or blonde)? 
3883,"April 22nd, 2017 7:05 am",Irish charity organising suicide-awareness walk in Copenhagen 
3884,"April 21st, 2017 4:16 pm",Danish government ushers in new pesticide plan 
3885,"April 21st, 2017 2:59 pm",Millions of trees planted in wake of 2013 destruction 
3886,"April 21st, 2017 2:21 pm",Danish public sector websites careless with personal data 
3887,"April 21st, 2017 11:36 am",Cyclists have lower risk of early death 
3888,"April 21st, 2017 10:37 am",Denmark sets aside millions for private solutions to global challenges 
3889,"April 21st, 2017 9:18 am",Danish forces wary of Russian ‘honey traps’ 
